source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB82-001,NIH Safe Laboratory Practices and Procedures,NIH ORS DOHS,training,safety_guidance,general,4,general_safety;chemical;biosafety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/student_goodlab.aspx,nih;laboratory safety;training,en,What daily safe laboratory practices are required for NIH lab personnel
WEB82-002,NIH Laboratory Safety Program Overview,NIH ORS DOHS,lab_management,safety_guidance,general,4,general_safety;chemical;biosafety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/default.aspx,nih;lab safety;program,en,How is the NIH laboratory safety program organized for research operations
WEB82-003,NIH Chemical Fume Hoods,NIH ORS DOHS,equipment,safety_guidance,chemical,4,chemical;ventilation,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/Chemical-Fume-Hoods.aspx,nih;fume hood;engineering control,en,What operating controls are required for chemical fume hoods in NIH labs
WEB82-004,NIH Laboratory Chemical Monitoring,NIH ORS DOHS,chemical,safety_guidance,chemical,4,chemical;exposure_control,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/Chemical-Monitoring.aspx,nih;chemical monitoring;exposure,en,How should laboratories implement chemical exposure monitoring and follow-up
WEB82-005,NIH Laboratory Surveys and Inspections,NIH ORS DOHS,lab_management,safety_guidance,general,3,general_safety;process_control,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/surveys_inspections.aspx,nih;inspection;audit,en,How should laboratory safety inspections and corrective actions be managed
WEB82-006,NIH Laboratory Laser Safety,NIH ORS DOHS,radiation,safety_guidance,general,5,radiation;equipment_safety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/Pages/laser_safety.aspx,nih;laser safety;radiation,en,What controls are required for safe laser operation in laboratory settings
WEB82-007,NIH Chemical Safety Program,NIH ORS DOHS,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://ors.od.nih.gov/sr/dohs/safety/laboratory/chemicalsafety/Pages/default.aspx,nih;chemical safety;program,en,What are the core requirements of NIH laboratory chemical safety management
WEB82-008,NIH Compressed Gas Safety,NIH ORS DOHS,equipment,safety_guidance,general,4,high_pressure_gas;general_safety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/chemicalsafety/Pages/Compressed-Gas-Safety.aspx,nih;compressed gas;storage,en,How should compressed gas cylinders be handled and stored safely in labs
WEB82-009,NIH Formaldehyde Safety,NIH ORS DOHS,chemical,safety_guidance,chemical,4,chemical;toxic,https://ors.od.nih.gov/sr/dohs/safety/laboratory/chemicalsafety/Pages/Formaldehyde.aspx,nih;formaldehyde;exposure control,en,What controls are required to reduce formaldehyde exposure in laboratory work
WEB82-010,NIH Biosafety Decontamination,NIH ORS DOHS,biosafety,safety_guidance,biosafety,5,biosafety;biohazard,https://ors.od.nih.gov/sr/dohs/safety/laboratory/BioSafety/Pages/decontamination.aspx,nih;biosafety;decontamination,en,What decontamination procedures should laboratories follow for biohazard materials
WEB82-011,NIH Biosafety Cabinets,NIH ORS DOHS,biosafety,safety_guidance,biosafety,5,biosafety;equipment_safety,https://ors.od.nih.gov/sr/dohs/safety/laboratory/BioSafety/Pages/ih_biocabinets.aspx,nih;biosafety cabinet;engineering control,en,How should biosafety cabinets be selected used and verified in labs
WEB82-012,NIH Shipping Biological Materials,NIH ORS DOHS,biosafety,safety_guidance,biosafety,5,biosafety;transport,https://ors.od.nih.gov/sr/dohs/safety/laboratory/BioSafety/Pages/shipping_biological_material.aspx,nih;shipping biological materials;compliance,en,What are the safe shipping and documentation requirements for biological materials
