source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB5-001,MOE notice on Higher Education Laboratory Safety Standard,Ministry of Education (CN),standard,national_standard,general,5,general_safety;fire,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,moe;university;lab safety;policy,en,What are the core requirements in the MOE higher-education lab safety standard
WEB5-002,MOE trial method for laboratory risk grading and classification,Ministry of Education (CN),policy,safety_management,general,5,general_safety;hazardous_chemicals,http://www.moe.gov.cn/srcsite/A16/s7062/202404/t20240419_1126415.html,moe;risk grading;classification,en,How should universities implement graded and classified laboratory risk management
WEB5-003,Regulation for laboratory work in higher education institutions,Ministry of Education (CN),policy,national_standard,general,4,general_safety,http://www.moe.gov.cn/srcsite/A02/s5911/moe_621/199206/t19920627_81923.html,moe;laboratory work regulation,en,What governance responsibilities are required by the higher-education laboratory work regulation
WEB5-004,State Council policy library relay for MOE laboratory safety standard,State Council of China,standard,national_standard,general,5,general_safety;fire,https://www.gov.cn/zhengce/zhengceku/2023-02/21/content_5742498.htm,state council;policy library;lab safety,en,Which clauses in the State Council policy relay are critical for campus implementation
WEB5-005,Emergency management science note on campus laboratory safety,Ministry of Emergency Management (CN),training,safety_guidance,general,4,general_safety;fire,https://www.mem.gov.cn/kp/shaq/201909/t20190916_366059.shtml,mem;science note;lab safety,en,What pre-lab checks and controls are emphasized by the emergency management guidance
WEB5-006,Emergency management note on lab safety hidden hazards,Ministry of Emergency Management (CN),training,safety_management,general,4,general_safety;hazardous_chemicals,https://www.mem.gov.cn/kp/sgzn/202003/t20200320_366294.shtml,mem;hazard inspection,en,What frequent hidden hazards are listed and how should they be corrected
WEB5-007,CERNET relay of MOE laboratory safety standard,CERNET,standard,national_standard,general,4,general_safety,https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,cernet;relay;lab safety,en,What are the practical implementation points in the CERNET relay notice
WEB5-008,OSHA Laboratories,OSHA,standard,safety_guidance,general,4,chemical;general_safety,https://www.osha.gov/laboratories,osha;laboratories;safety,en,What compliance requirements are highlighted for laboratory workplaces
WEB5-009,OSHA Laboratory Standard 1910.1450,OSHA,standard,national_standard,chemical,5,chemical;hazardous_chemicals,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,osha;1910.1450;chemical hygiene,en,What mandatory controls are required under OSHA 1910.1450
WEB5-010,OSHA eTool laboratory standard overview,OSHA,training,safety_guidance,chemical,4,chemical;general_safety,https://www.osha.gov/etools/hospitals/laboratory/osha-laboratory-standard,osha;etool;laboratory,en,How can laboratories implement controls based on the OSHA eTool overview
WEB5-011,BMBL 6th edition overview,CDC,biosafety,national_standard,biosafety,5,biosafety;general_safety,https://www.cdc.gov/labs/bmbl/index.html,cdc;bmbl;biosafety,en,What biosafety level controls are described by BMBL
WEB5-012,CDC biosafety quick learn,CDC,training,safety_guidance,biosafety,3,biosafety;general_safety,https://www.cdc.gov/training/QuickLearns/biosafety/,cdc;biosafety;training,en,How should students understand differences across biosafety levels
WEB5-013,EPA hazardous waste guide for generators,EPA,chemical,hazardous_waste_management,chemical,5,hazardous_waste;chemical,https://www.epa.gov/hwgenerators/managing-your-hazardous-waste-guide-small-businesses,epa;hazardous waste;management,en,What hazardous waste handling practices are applicable to teaching and research labs
WEB5-014,HSE biosafety,UK HSE,biosafety,safety_guidance,biosafety,4,biosafety;general_safety,https://www.hse.gov.uk/biosafety/,hse;biosafety;uk,en,What biosafety responsibilities are required for laboratory employers and workers
WEB5-015,HSE chemicals,UK HSE,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://www.hse.gov.uk/chemicals/,hse;chemicals;uk,en,What chemical risk management controls are recommended by HSE
WEB5-016,HSE INDG136 working with hazardous substances,UK HSE,standard,safety_manual,chemical,4,chemical;hazardous_chemicals,https://www.hse.gov.uk/pubns/indg136.pdf,hse;coshh;pdf,en,What practical control hierarchy is required for hazardous substances
WEB5-017,WHO laboratory biosafety manual publication page,WHO,biosafety,national_standard,biosafety,4,biosafety;general_safety,https://www.who.int/publications/i/item/9789240011311,who;biosafety;manual,en,What risk assessment principles are emphasized in the WHO laboratory biosafety manual
WEB5-018,Stanford EHS lab safety topic,Stanford University,lab_management,safety_management,general,3,general_safety;chemical,https://ehs.stanford.edu/topic/lab-safety,stanford;ehs;lab safety,en,What routine controls are required before and during university lab operations
WEB5-019,Stanford EHS chemical safety topic,Stanford University,chemical,safety_management,chemical,3,chemical;hazardous_chemicals,https://ehs.stanford.edu/topic/chemical-safety,stanford;chemical safety;ehs,en,What chemical handling and storage rules are highlighted for academic labs
WEB5-020,Harvard EHS lab safety,Harvard University,lab_management,safety_management,general,3,general_safety;chemical,https://www.ehs.harvard.edu/lab-safety,harvard;ehs;lab safety,en,What training and operating controls are expected for lab users
WEB5-021,Harvard EHS biological safety,Harvard University,biosafety,safety_management,biosafety,3,biosafety;general_safety,https://www.ehs.harvard.edu/biological-safety,harvard;biosafety;ehs,en,What biosafety governance controls are expected in university labs
WEB5-022,UCL safety services,UCL,lab_management,safety_management,general,3,general_safety,https://www.ucl.ac.uk/safety-services/,ucl;safety services;lab governance,en,What institutional safety management practices can be reused for laboratory governance
