task_id,priority,status,owner,eta,profiles,blocking_reason,recommended_action,verification_step
REL-FIX-01,P2,todo,,,prod,"gate_decision not allowed: WARN_ONLY not in ['PASS', 'WARN']",Fix listed blockers and rerun one-click release validation.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-02,P2,todo,,,prod,risk violation count exceeded: 2 > max_violation_count=0,Fix listed blockers and rerun one-click release validation.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-03,P1,todo,,,prod,override mode not allowed for profile prod: warn_only not in [],Disable temporary override or switch to an allowed release profile before release.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-04,P0,todo,,,prod,route_success_rate too low: 0.0000 < min_route_success_rate=0.8000,"Recover primary route availability first; check Dify gateway, model routing, and network path.",Re-run one-click release check and verify profile status is PASS.
REL-FIX-05,P0,todo,,,prod,route_timeout_rate too high: 1.0000 > max_route_timeout_rate=0.2000,Reduce concurrency and investigate SSE timeout path; enable fallback channel and rerun canary.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-06,P1,todo,,,prod,latency_p95_ms too high: 60139.45 > max_latency_p95_ms=30000.00,"Optimize prompt and retrieval path, reduce latency, and tune rate limits.",Re-run one-click release check and verify profile status is PASS.
REL-FIX-07,P0,todo,,,prod,"failover latest result not allowed: fail not in ['degraded', 'pass']",Identify why primary model is unavailable; require two consecutive healthy regressions before release.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-08,P0,todo,,,prod,failover latest timeout ratio too high: 1.0000 > max_latest_timeout_error_ratio=0.4000,"Improve request stability (timeout budget, retry policy, model channel) to prevent repeated failover.",Re-run one-click release check and verify profile status is PASS.
REL-FIX-09,P0,todo,,,prod,failover window fail count exceeded: 9 > max_fail_window=1,Fix listed blockers and rerun one-click release validation.,Re-run one-click release check and verify profile status is PASS.
REL-FIX-10,P0,todo,,,prod,failover fail streak exceeded: 9 > max_fail_streak=1,Identify why primary model is unavailable; require two consecutive healthy regressions before release.,Re-run one-click release check and verify profile status is PASS.
