source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB6-001,NIOSH Pocket Guide to Chemical Hazards,CDC NIOSH,chemical,safety_guidance,chemical,5,chemical;hazardous_chemicals,https://www.cdc.gov/niosh/npg/default.html,niosh;chemical hazards;reference,en,How can lab users apply NIOSH pocket guide limits and controls in daily operations
WEB6-002,NIOSH School Chemistry Laboratory Safety Guide,CDC NIOSH,training,safety_guidance,chemical,4,chemical;general_safety,https://www.cdc.gov/niosh/docs/2007-107/default.html,niosh;school chemistry;guide,en,What baseline controls from the school chemistry safety guide can be reused in university labs
WEB6-003,NIOSH Manual of Analytical Methods (NMAM),CDC NIOSH,standard,safety_manual,general,4,chemical;general_safety,https://www.cdc.gov/niosh/nmam/,niosh;nmam;methods,en,How can NMAM support safe and reliable exposure measurement in laboratories
WEB6-004,NIGMS Laboratory Safety Training and Guidelines,NIH NIGMS,training,safety_guidance,general,3,general_safety;chemical,https://nigms.nih.gov/training/Pages/Laboratory-Safety-Training-and-Guidelines.aspx,nih;nigms;training,en,What training expectations are highlighted by NIGMS for lab members
WEB6-005,NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules,NIH Office of Science Policy,biosafety,national_standard,biosafety,5,biosafety;general_safety,https://osp.od.nih.gov/biotechnology/nih-guidelines/,nih;rdna;biosafety,en,What biosafety and governance obligations are required by the NIH recombinant DNA guidelines
WEB6-006,Canadian Biosafety Standard Third Edition,Public Health Agency of Canada,biosafety,national_standard,biosafety,5,biosafety;general_safety,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/third-edition.html,canada;biosafety standard;phac,en,What mandatory biosafety program elements are required by the Canadian biosafety standard
WEB6-007,Canadian Biosafety Handbook Second Edition,Public Health Agency of Canada,biosafety,safety_manual,biosafety,4,biosafety;general_safety,https://www.canada.ca/en/public-health/services/canadian-biosafety-standards-guidelines/handbook-second-edition.html,canada;biosafety handbook;phac,en,How should organizations implement practical controls from the Canadian biosafety handbook
WEB6-008,Singapore Biosafety Information and Guidelines,Ministry of Health Singapore,biosafety,safety_guidance,biosafety,4,biosafety;general_safety,https://biosafety.moh.gov.sg/resources/information-and-guidelines,moh singapore;biosafety;guidelines,en,What governance and operational biosafety requirements are emphasized in Singapore guidance
WEB6-009,Singapore Biosafety Guidelines for Research 2021,Genetic Modification Advisory Committee Singapore,biosafety,national_standard,biosafety,4,biosafety;general_safety,https://www.gmac.sg/pdf/Research/Singapore%20Biosafety%20Guidelines%20for%20Research%202021.pdf,gmac;biosafety;pdf,en,What biosafety risk assessment and containment practices are recommended in Singapore research guidance
WEB6-010,WHO Laboratory Biosafety Manual 4th Edition publication page Chinese,WHO,biosafety,safety_manual,biosafety,4,biosafety;general_safety,https://www.who.int/zh/publications/i/item/9789240011311,who;lbm4;zh,en,What risk-based biosafety principles can be extracted from the WHO laboratory biosafety manual page
WEB6-011,China NHC Notice on COVID-19 Laboratory Biosafety Guidance 2nd Edition,National Health Commission of China,biosafety,safety_guidance,biosafety,5,biosafety;general_safety,https://www.nhc.gov.cn/qjjys/c100016/202001/66ba808179554b53ae569f1bee0eeb5e.shtml,nhc;covid lab biosafety;notice,zh-CN,What emergency biosafety controls are required by the NHC notice for pathogen-related laboratory work
WEB6-012,ShanghaiTech Laboratory Safety Manual PDF,ShanghaiTech University,lab_management,safety_manual,general,3,general_safety;chemical,https://ehs.shanghaitech.edu.cn/_upload/article/files/44/99/9153ed7f455a8d81658b8f675355/43303cde-06cd-41db-8570-f1ac08db354b.pdf,shanghaitech;ehs;manual,zh-CN,What practical day-to-day laboratory controls are described in the university laboratory safety manual
