source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB4-001,高等学校实验室安全规范政策通知,教育部,标准,国家规范,通用,4,综合安全;消防,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045996.html,教育部;高校;实验室安全;政策,zh-CN,教育部关于高校实验室安全规范的核心要求有哪些
WEB4-002,高等学校实验室安全规范转载页面,中国教育和科研计算机网,标准,国家规范,通用,4,综合安全;消防,https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,高校;实验室安全;国家规范,zh-CN,高校实验室安全规范在实际管理中有哪些执行要点
WEB4-003,实验室生物安全管理指导意见,深圳市人民政府,生物,安全管理,生物,4,生物;综合安全,https://www.sz.gov.cn/cn/xxgk/zfxxgj/tzgg/content/post_12542588.html,生物安全;地方规范;管理,zh-CN,实验室生物安全管理中日常检查和分级管理有哪些要求
WEB4-004,生态环境相关法规网页,生态环境部,通用,安全管理,通用,3,综合安全;危废,https://www.mee.gov.cn/zcwj/gwywj/201802/t20180206_431083.shtml,法规;生态环境;实验室管理,zh-CN,生态环境法规中与实验室污染防治和危废管理相关的要求有哪些
WEB4-005,OSHA Laboratory Safety,OSHA,培训,安全规范,通用,4,化学;综合安全,https://www.osha.gov/laboratory-safety,OSHA;laboratory;safety,en-US,What are the key OSHA laboratory safety practices for routine lab work
WEB4-006,OSHA Laboratory Safety Guidance PDF,OSHA,标准,国家规范,通用,4,化学;综合安全,https://www.osha.gov/sites/default/files/publications/laboratory_safety_guidance.pdf,OSHA;guidance;pdf,en-US,What mandatory and recommended controls are defined in OSHA laboratory safety guidance
WEB4-007,CDC BMBL overview page,CDC,生物,安全规范,生物,4,生物;综合安全,https://www.cdc.gov/labs/BMBL.html,CDC;BMBL;biosafety,en-US,What are the core biosafety control concepts in BMBL
WEB4-008,CDC BMBL PDF,CDC,生物,国家规范,生物,4,生物;综合安全,https://www.cdc.gov/labs/pdf/CDC-BiosafetyMicrobiologicalBiomedicalLaboratories-2020-P.pdf,CDC;BMBL;pdf,en-US,What biosafety levels and containment requirements are described in BMBL
WEB4-009,WHO Laboratory biosafety manual 4th edition,WHO,生物,国家规范,生物,4,生物;综合安全,https://www.who.int/publications/i/item/9789240011311,WHO;biosafety;manual,en,What are the risk assessment and mitigation principles in WHO laboratory biosafety manual
WEB4-011,NIOSH Chemical Safety topic page,NIOSH,化学,安全规范,化学,3,化学;危化品,https://www.cdc.gov/niosh/topics/chemical-safety/default.html,NIOSH;chemical;safety,en-US,What practical chemical safety controls are recommended by NIOSH for lab environments
WEB4-012,Hazardous waste management guide,EPA,化学,危废管理,化学,4,危废;化学,https://www.epa.gov/hwgenerators/managing-your-hazardous-waste-guide-small-businesses,EPA;hazardous waste;management,en-US,What hazardous waste handling practices are applicable to teaching and research laboratories
