source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB-001,实验室安全的基本要求,南京林业大学林草水保学院,通用,基本要求,通用,3,综合安全,https://linxue.njfu.edu.cn/aqgz/sysaq/20210929/i230277.html,实验室安全;基本要求;高校,zh-CN,实验室的基本安全要求有哪些
WEB-002,实验室一般安全规范,齐鲁工业大学电子电气与控制学部,通用,安全规范,通用,3,综合安全,https://eetc.qlu.edu.cn/2012/1207/c1403a25377/page.htm,实验室安全;安全规范;高校,zh-CN,实验室一般安全规范包括哪些内容
WEB-003,实验室安全守则,河北师范大学汇华学院,通用,安全守则,通用,3,综合安全,http://huihua.hebtu.edu.cn/s/zhuanti/page/8.html,实验室安全;安全守则;高校,zh-CN,实验室安全守则有哪些关键要求
WEB-004,实验室化学品安全管理实施细则,中山大学设备与实验室管理处,化学,化学品管理,化学,4,危化品;储存,https://sbc.sysu.edu.cn/article/670,危化品;化学品管理;储存,zh-CN,实验室化学品安全管理有哪些要求
WEB-005,实验室化学废液收集处理规范,重庆大学实验室及设备管理处,化学,废液处置,化学,3,危废;有机溶剂,https://lems.cqu.edu.cn/info/1138/2933.htm,废液;化学废液;有机溶剂,zh-CN,化学废液如何分类收集和处理
WEB-006,实验室危险废弃物处理规定,生态环境部,化学,危废处置,化学,4,危废;危化品,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202011/t20201127_810202.html,危废;处置;化学废液;official_relink_v4_1,zh-CN,实验室危险废弃物怎么处置
WEB-007,化学化工实验室安全管理规范,中山大学设备与实验室管理处,化学,安全管理,化学,4,危化品;综合,https://sbc.sysu.edu.cn/article/570,化学实验室;安全管理;危化品,zh-CN,化学实验室安全管理规范包含哪些内容
WEB-008,实验室危险化学品管理规定,吉林大学化学学院,化学,危化品管理,化学,4,危化品;剧毒,https://chem.jlu.edu.cn/info/1192/13289.htm,危化品;剧毒品;管理,zh-CN,实验室危险化学品的全周期管理如何执行
WEB-009,实验室危险废弃物安全处置管理办法,中国地质大学（武汉）实验室与设备管理处,化学,危废管理,化学,4,危废;三废,https://sbc.cug.edu.cn/info/1013/1172.htm,危废;三废;处置,zh-CN,实验室危险废弃物安全处置有哪些要求
WEB-010,高等学校实验室安全规范（教育部）,中国教育和科研计算机网,通用,国家规范,通用,3,综合安全,https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,国家标准;教育部;实验室安全,zh-CN,教育部高等学校实验室安全规范有哪些核心要求
WEB-011,高校实验室安全手册,中国药科大学,通用,安全手册,通用,3,综合安全,https://sky.cpu.edu.cn/03/b6/c13364a197558/page.htm,安全手册;高校;操作规范,zh-CN,高校实验室安全手册涵盖哪些内容
WEB-012,实验室常见危险设备操作注意事项,上海交通大学生命科学技术学院,通用,设备安全,通用,4,机械;高温;高压,https://life.sjtu.edu.cn/En/Data/View/6077,危险设备;离心机;灭菌器;official_relink_v4_1,zh-CN,实验室常见危险设备操作有哪些注意事项
WEB-013,液氮罐的安全使用及管理办法,宁夏医科大学颅脑疾病重点实验室,化学,低温安全,化学,4,低温;窒息,http://www.nxmu.edu.cn/lnjbzdsys/info/1094/1283.htm,液氮;低温;冻伤,zh-CN,液氮罐如何安全使用和管理
WEB-014,高等学校实验室消防安全管理规范,清华大学保卫部,通用,消防安全,通用,4,火灾;消防,https://peace.tsinghua.edu.cn/info/1025/2043.htm,消防;灭火器;疏散,zh-CN,高校实验室消防安全管理有哪些规范要求
WEB-015,高等学校实验室消防安全管理规范,南通大学,通用,消防安全,通用,4,火灾;消防,https://sysglc.ntu.edu.cn/2024/0326/c8767a230277/page.htm,消防;防火;应急疏散,zh-CN,实验室消防安全和灭火器使用规范是什么
WEB-016,实验室安全规定及注意事项,复旦大学,通用,安全制度,通用,3,综合安全,https://klca.fudan.edu.cn/ac/c8/c11925a109768/page.htm,安全规定;注意事项;高校,zh-CN,实验室安全规定和注意事项包括哪些
WEB-017,气瓶安全管理规定,北京交通大学后勤保障处,化学,气瓶管理,化学,4,高压气体;易燃气体,https://wh.bjtu.edu.cn/docs/2025-09/aeaffe16c0fc470dabc9cdd9a24db963.pdf,气瓶;高压;安全;official_relink_v4_1,zh-CN,实验室气瓶安全管理有哪些具体要求
WEB-018,实验室废液管理细则,重庆大学生物工程学院,生物,废液处置,生物,4,生物危废;有机溶剂,https://bio.cqu.edu.cn/info/1134/2795.htm,废液;生物危废;有机废液,zh-CN,实验室废液的分类管理和处置细则有哪些
