source_id,title,status,quality_score,assignee_role,priority,task,url
WEB5-001,MOE notice on Higher Education Laboratory Safety Standard,blocked,0.9014,collector,P0,replace URL or upload downloadable attachment,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html
WEB5-002,MOE trial method for laboratory risk grading and classification,blocked,0.9414,collector,P0,replace URL or upload downloadable attachment,http://www.moe.gov.cn/srcsite/A16/s7062/202404/t20240419_1126415.html
WEB5-003,Regulation for laboratory work in higher education institutions,ok,0.9708,cleaner,P2,sampling review then merge into release batch,http://www.moe.gov.cn/srcsite/A02/s5911/moe_621/199206/t19920627_81923.html
WEB5-004,State Council policy library relay for MOE laboratory safety standard,blocked,0.5732,collector,P0,replace URL or upload downloadable attachment,https://www.gov.cn/zhengce/zhengceku/2023-02/21/content_5742498.htm
WEB5-005,Emergency management science note on campus laboratory safety,ok,0.9233,cleaner,P2,sampling review then merge into release batch,https://www.mem.gov.cn/kp/shaq/201909/t20190916_366059.shtml
WEB5-006,Emergency management note on lab safety hidden hazards,ok,0.7418,cleaner,P2,sampling review then merge into release batch,https://www.mem.gov.cn/kp/sgzn/202003/t20200320_366294.shtml
WEB5-007,CERNET relay of MOE laboratory safety standard,ok,0.9468,cleaner,P2,sampling review then merge into release batch,https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml
WEB5-008,OSHA Laboratories,ok,0.9521,cleaner,P2,sampling review then merge into release batch,https://www.osha.gov/laboratories
WEB5-009,OSHA Laboratory Standard 1910.1450,ok,0.9488,cleaner,P2,sampling review then merge into release batch,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450
WEB5-010,OSHA eTool laboratory standard overview,ok,0.9487,cleaner,P2,sampling review then merge into release batch,https://www.osha.gov/etools/hospitals/laboratory/osha-laboratory-standard
WEB5-011,BMBL 6th edition overview,ok,0.9521,cleaner,P2,sampling review then merge into release batch,https://www.cdc.gov/labs/bmbl/index.html
WEB5-012,CDC biosafety quick learn,ok,0.9540,cleaner,P2,sampling review then merge into release batch,https://www.cdc.gov/training/QuickLearns/biosafety/
WEB5-013,EPA hazardous waste guide for generators,ok,0.9501,cleaner,P2,sampling review then merge into release batch,https://www.epa.gov/hwgenerators/managing-your-hazardous-waste-guide-small-businesses
WEB5-014,HSE biosafety,ok,0.9482,cleaner,P2,sampling review then merge into release batch,https://www.hse.gov.uk/biosafety/
WEB5-015,HSE chemicals,ok,0.9469,cleaner,P2,sampling review then merge into release batch,https://www.hse.gov.uk/chemicals/
WEB5-016,HSE INDG136 working with hazardous substances,ok,0.9563,cleaner,P2,sampling review then merge into release batch,https://www.hse.gov.uk/pubns/indg136.pdf
WEB5-017,WHO laboratory biosafety manual publication page,ok,0.9463,cleaner,P2,sampling review then merge into release batch,https://www.who.int/publications/i/item/9789240011311
WEB5-018,Stanford EHS lab safety topic,ok,0.9618,cleaner,P2,sampling review then merge into release batch,https://ehs.stanford.edu/topic/lab-safety
WEB5-019,Stanford EHS chemical safety topic,ok,0.9529,cleaner,P2,sampling review then merge into release batch,https://ehs.stanford.edu/topic/chemical-safety
WEB5-020,Harvard EHS lab safety,ok,0.9546,cleaner,P2,sampling review then merge into release batch,https://www.ehs.harvard.edu/lab-safety
WEB5-021,Harvard EHS biological safety,error,0.2532,collector,P0,replace URL or upload downloadable attachment,https://www.ehs.harvard.edu/biological-safety
WEB5-022,UCL safety services,ok,0.9559,cleaner,P2,sampling review then merge into release batch,https://www.ucl.ac.uk/safety-services/
