source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,suggested_tags,priority,language,question_hint
WEBV3-001,临床实验室生物安全指南（WS/T 442-2024）,国家卫生健康委,标准,安全规范,生物,5,生物,https://www.nhc.gov.cn/wjw/s9492/202404/589f2e3d20494d99abd6bebc293d77a7.shtml,卫健委;生物安全;临床实验室,权威来源;生物安全;高优先级,P0,zh-CN,WS/T 442-2024 对临床实验室生物安全的核心要求有哪些
WEBV3-002,临床实验室生物安全指南（WS/T 442-2024）PDF,国家卫生健康委,标准,安全规范,生物,5,生物,https://www.nhc.gov.cn/wjw/s9492/202404/589f2e3d20494d99abd6bebc293d77a7/files/1739781668101_79991.pdf,卫健委;生物安全;规范文本,规范原文;可抽条款;高优先级,P0,zh-CN,临床实验室生物安全指南正文中关于人员防护和分区管理有哪些条款
WEBV3-003,国家卫生健康委公告（2025年）第1号（涉高等级病原微生物实验室审查职责调整）,国家卫生健康委,制度,国家规范,生物,5,生物,https://www.nhc.gov.cn/qjjys/c100016/202501/a1e5ec90c9ea4a9984802228a3505a1c.shtml,卫健委;公告;病原微生物实验室,法规更新;职责调整;高优先级,P0,zh-CN,2025年卫健委公告中高等级病原微生物实验室审查职责有哪些变化
WEBV3-004,国家卫生健康委员会令第14号（2025）,国家卫生健康委,制度,国家规范,生物,5,生物,https://www.nhc.gov.cn/wjw/c100221/202506/7575b6894320414f9ff783a4b7a10e3d.shtml,卫健委;部门规章;生物安全,部门规章;法规依据;高优先级,P0,zh-CN,卫健委令第14号中与实验室生物安全直接相关的修订点有哪些
WEBV3-005,科技部公告（2025年第2号）,科学技术部,制度,国家规范,生物,5,生物,https://www.most.gov.cn/tztg/202501/t20250120_192916.html,科技部;公告;生物实验室,法规联动;职责边界;高优先级,P0,zh-CN,科技部2025年第2号公告对高等级病原微生物实验室审批职责有何影响
WEBV3-006,病原微生物实验室生物安全环境管理办法,生态环境部,制度,国家规范,生物,5,生物,https://www.mee.gov.cn/gzk/gz/202112/t20211201_962512.shtml,生态环境部;生物安全;环境管理,环境管理;法规依据;高优先级,P0,zh-CN,病原微生物实验室生物安全环境管理办法对设施和废弃物管理有哪些要求
WEBV3-007,中华人民共和国生物安全法（法律文本入口）,生态环境部,制度,国家规范,生物,5,生物,https://www.mee.gov.cn/ywgz/fgbz/fl/202303/t20230314_1019536.shtml,生物安全法;法律;国家层面,法律依据;高优先级;长期有效,P0,zh-CN,生物安全法中与高校实验室管理最相关的条款有哪些
WEBV3-008,中华人民共和国生物安全法（政策库入口）,中国政府网,制度,国家规范,生物,5,生物,https://www.gov.cn/zhengce/zhengceku/2020-02/28/content_5484637.htm,政府网;生物安全法;政策库,法律原文入口;可追溯;高优先级,P0,zh-CN,中国政府网政策库中的生物安全法条文对实验室有哪些直接约束
WEBV3-009,化工企业生产过程异常工况安全处置准则（试行）,应急管理部,标准,安全规范,化学,4,危化品;化学,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202404/t20240430_486684.shtml,应急管理部;异常工况;安全处置,危化品场景;处置流程;高优先级,P0,zh-CN,异常工况安全处置准则中哪些方法可迁移到实验室危化品异常处置
WEBV3-010,危险化学品登记管理办法（总局令第53号）,应急管理部,制度,国家规范,化学,5,危化品;化学,https://www.mem.gov.cn/gk/gwgg/agwzlfl/zjl_01/201207/t20120711_233721.shtml,危险化学品;登记管理;法规,危化品管理;法规依据;高优先级,P0,zh-CN,危险化学品登记管理办法中与实验室采购和存储管理相关的要求有哪些
WEBV3-011,“十四五”危险化学品安全生产规划方案,应急管理部,制度,国家规范,化学,4,危化品;化学,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202203/t20220321_410001.shtml,应急管理部;十四五;危化品,政策规划;风险治理;中优先级,P1,zh-CN,十四五危化品安全规划中有哪些可用于高校实验室管理的治理方向
WEBV3-012,关于加强高校实验室安全工作的意见（教技函〔2019〕36号）,教育部,制度,国家规范,通用,5,综合安全,https://www.moe.gov.cn/srcsite/A16/s3336/201904/t20190404_376670.html,教育部;高校实验室;安全意见,高校基线制度;高优先级;权威来源,P0,zh-CN,教技函〔2019〕36号对高校实验室安全管理提出了哪些底线要求
WEBV3-013,教育部《关于加强高校实验室安全工作的意见》政策库入口,中国政府网,制度,国家规范,通用,5,综合安全,https://www.gov.cn/zhengce/zhengceku/2019-10/23/content_5444020.htm,政府网;教育部;实验室安全,政策解读入口;可追溯;高优先级,P0,zh-CN,中国政府网收录的高校实验室安全意见对学校制度建设有哪些要求
WEBV3-014,教育部开展加强高校实验室安全专项行动（2021）新闻入口,教育部,通用,安全管理,通用,4,综合安全,https://www.moe.gov.cn/jyb_xwfb/s271/202112/t20211231_591762.html,教育部;专项行动;高校实验室,工作部署;检查导向;中优先级,P1,zh-CN,教育部2021年高校实验室安全专项行动的重点任务和检查要求是什么
