source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEB7-001,CDC COVID-19 Laboratory Safety Resources,CDC,training,safety_guidance,biosafety,4,biosafety;general_safety,https://www.cdc.gov/covid/php/lab/index.html,cdc;covid-19;lab safety,en,What laboratory biosafety controls are required for COVID-19 related specimen handling and testing
WEB7-002,OSHA Fact Sheet Laboratory Safety and the OSHA Laboratory Standard,OSHA,standard,regulation,chemical,4,chemical;general_safety,https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,osha;fact sheet;laboratory standard,en,What core compliance requirements are highlighted in the OSHA laboratory safety fact sheet
WEB7-003,OSHA Laboratory Safety Publications by Topic,OSHA,training,safety_guidance,general,3,general_safety;chemical,https://www.osha.gov/publications/bytopic/laboratory-safety,osha;publications;laboratory safety,en,Which OSHA laboratory safety publications should labs prioritize for baseline training
WEB7-004,OSHA Laboratory Standards Index,OSHA,standard,regulation,general,4,general_safety;chemical,https://www.osha.gov/laboratories/standards,osha;standards;laboratory,en,How should laboratories map daily operations to applicable OSHA standards
WEB7-005,CDC Safe Labs Resources and Tools,CDC,biosafety,safety_guidance,biosafety,4,biosafety;general_safety,https://www.cdc.gov/safe-labs/php/resources-tools/index.html,cdc;safe labs;resources,en,What practical biosafety tools from CDC Safe Labs can support routine laboratory operations
WEB7-006,CDC Strong Laboratory Safety Program,CDC,biosafety,safety_guidance,biosafety,4,biosafety;general_safety,https://www.cdc.gov/labs/strong-lab-safety/index.html,cdc;strong lab safety;program,en,What program elements define a strong laboratory safety management system according to CDC
WEB7-007,CDC Biosafety Trainings,CDC,training,safety_guidance,biosafety,4,biosafety;general_safety,https://www.cdc.gov/safe-labs/php/biosafety-training/index.html,cdc;safe labs;biosafety training,en,Which CDC biosafety training modules are most relevant for routine laboratory risk control
WEB7-008,UC Berkeley Labs and Research Safety,UC Berkeley EH&S,biosafety,biosafety_program,biosafety,4,biosafety;general_safety,https://ehs.berkeley.edu/research-safety,berkeley;labs and research;ehs,en,What institutional biosafety and laboratory governance controls are required by UC Berkeley EH&S
WEB7-009,Princeton Laboratory Safety Program,Princeton EHS,lab_management,safety_guidance,general,3,general_safety;chemical,https://ehs.princeton.edu/laboratory-research/laboratory-safety,princeton;laboratory safety;ehs,en,What lab safety process controls are required in Princeton laboratory research environments
WEB7-010,Yale Chemical Safety and Industrial Hygiene,Yale EHS,chemical,safety_guidance,chemical,4,chemical;hazardous_chemicals,https://ehs.yale.edu/chemical,yale;chemical safety;ehs,en,What chemical safety and industrial hygiene controls are required by Yale EHS
WEB7-011,Imperial College Laboratory Safety Guidance,Imperial College London,lab_management,safety_guidance,general,3,general_safety;chemical,https://www.imperial.ac.uk/safety/safety-by-topic/laboratory-safety/,imperial;laboratory safety;uk,en,What laboratory safety governance and daily controls are recommended by Imperial College
WEB7-012,UNC Laboratory Safety Program,UNC EHS,lab_management,safety_guidance,general,3,general_safety;chemical,https://ehs.unc.edu/topics/laboratory-safety/,unc;laboratory safety;ehs,en,What baseline laboratory safety controls are required in the UNC laboratory safety program
WEB7-013,OSHA Hazard Communication Inspection Procedures Directive,OSHA,standard,regulation,chemical,4,chemical;hazardous_chemicals,https://www.osha.gov/sites/default/files/enforcement/directives/CPL_02-02-079.pdf,osha;hazcom;directive,en,How should laboratories align hazard communication and SDS practices with OSHA inspection procedures
WEB7-014,Stony Brook Laboratory Safety Program,Stony Brook University EHS,lab_management,safety_guidance,general,3,general_safety;chemical,https://ehs.stonybrook.edu/programs/laboratory-safety,stonybrook;laboratory safety;ehs,en,What safety program elements and laboratory controls are listed by Stony Brook EHS
