source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,language,question_hint
WEBX-041,Laboratory Safety Manual — Safety Library,Princeton University EHS,通用,安全手册,通用,4,化学;生物;机械;综合安全,https://ehs.princeton.edu/laboratory-research/laboratory-safety/laboratory-safety-manual,laboratory safety manual;chemical safety;reactives;compressed gases,en,What topics are covered by Princeton laboratory safety manual for chemical and equipment hazards
WEBX-042,Laboratory Safety Manual,Stanford Environmental Health & Safety,通用,安全手册,通用,4,化学;生物;辐射;机械,https://ehs.stanford.edu/manual/laboratory-safety-manual,laboratory safety manual;Stanford;chemical safety;emergency,en,What baseline laboratory safety responsibilities and procedures are required by Stanford EHS
WEBX-043,Chemical Safety Manual,Stanford Environmental Health & Safety,化学,安全手册,化学,4,化学;综合安全;储存;危废,https://ehs.stanford.edu/manual/chemical-safety-manual,chemical safety manual;hazard communication;SOP;storage,en,What chemical safety program elements should laboratories implement
WEBX-044,Laboratory Safety Manual,UC Berkeley EH&S,通用,安全手册,通用,4,化学;火灾;综合安全,https://ehs.berkeley.edu/research-safety/laboratory-safety/laboratory-safety-manual,laboratory safety manual;PPE;training;emergency,en,What general lab safety training PPE and emergency requirements are included in UC Berkeley guidance
WEBX-045,5.3 Segregation of Incompatibles,UC Berkeley EH&S,化学,化学品管理,化学,4,危化品;火灾;剧毒,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/53-segregation-incompatibles,incompatible chemicals;segregation;storage groups,en,How should incompatible chemicals be segregated during laboratory storage
WEBX-046,5.2 Storage by Hazard Class,UC Berkeley EH&S,化学,化学品管理,化学,4,储存;易燃气体;危化品,https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/52-storage-hazard-class,chemical storage;hazard class;flammable;corrosive;oxidizer,en,How should laboratories organize chemical storage by hazard class
WEBX-047,Biological Safety Cabinets,University of Washington EH&S,生物,设备安全,生物,5,生物;生物危废;综合安全,https://www.ehs.washington.edu/biological/biological-safety-cabinets,biological safety cabinet;certification;primary containment;decontamination,en,How should biological safety cabinets be used certified and decontaminated
WEBX-048,Biological Safety Cabinets,University of Minnesota DEHS,生物,设备安全,生物,5,生物;生物危废;综合安全,https://dehs.umn.edu/biological-safety-cabinets,biological safety cabinet;airflow;work practices;decontamination,en,What work practices maintain protection when using a biological safety cabinet
WEBX-049,Laser Safety Program,Stanford Environmental Health & Safety,辐射,辐射安全,通用,5,辐射;火灾,https://ehs.stanford.edu/topic/radiation-safety/laser-safety,laser safety;training;controls;non-ionizing radiation,en,What controls and training are required for laboratory laser safety
WEBX-050,Laser Safety Manual,MIT EHS,辐射,辐射安全,通用,5,辐射;电气,https://ehs.mit.edu/wp-content/uploads/Laser_Safety_Manual.pdf,laser safety manual;classification;PPE;interlocks,en,How should high-power lasers be classified controlled and operated safely
WEBX-051,实验室安全分类分级管理办法（试行）,清华大学实验室管理处,实验室管理,安全管理,通用,4,综合安全,https://labsafety.tsinghua.edu.cn/info/1052/1716.htm,实验室安全;分类分级;风险评估;清华大学,zh-CN,高校实验室如何开展安全分类分级和风险管控
WEBX-052,实验室安全检查项目表,清华大学实验室管理处,实验室管理,安全管理,通用,3,综合安全,https://labsafety.tsinghua.edu.cn/info/1051/1670.htm,实验室安全检查;隐患整改;检查表,zh-CN,实验室安全检查应覆盖哪些项目和整改要求
WEBX-053,高校实验室安全检查项目表（2024）,华中科技大学实验室与设备管理处,实验室管理,安全管理,通用,4,综合安全;化学;生物;机械,https://sysglc.hust.edu.cn/info/1085/2904.htm,高校实验室安全;检查项目表;教育部;风险隐患,zh-CN,高校实验室安全检查项目表对化学品设备生物安全有哪些检查点
WEBX-054,实验室安全教育与考试系统题库说明,浙江大学实验室与设备管理处,培训,培训,通用,3,综合安全,https://sbb.zju.edu.cn/2024/0919/c39243a2965332/page.htm,实验室安全教育;准入考试;培训;题库,zh-CN,实验室准入培训和安全考试应如何支持人员安全能力建设
WEBX-055,实验室安全准入制度,西安交通大学实验室与资产管理处,培训,培训,通用,3,综合安全,https://sysglc.xjtu.edu.cn/info/1025/1319.htm,实验室安全准入;安全培训;考试;责任书,zh-CN,实验室人员进入实验室前应完成哪些安全准入要求
